"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"59","bmg2021vbzz","2021-10-27T22:31:03.039306Z","-5.178994179","129.8805847","3.542158844","M","163","16","137.6634674","Banda Sea","BMKG"
"60","bmg2021vbyq","2021-10-27T21:49:36.003958Z","0.06926556677","100.0786591","2.264211347","M","10","11","155.6725922","Northern Sumatra, Indonesia","BMKG"
"61","bmg2021vbyo","2021-10-27T21:47:24.015656Z","0.04780037329","128.9940033","3.618715277","M","10","24","119.0016251","Halmahera, Indonesia","BMKG"
"62","bmg2021vbwh","2021-10-27T20:41:58.109019Z","-6.036886215","128.7859955","4.446796671","Mw(mB)","321","147","29.55909729","Banda Sea","BMKG"
"63","bmg2021vbvk","2021-10-27T20:11:43.502984Z","-0.2808440328","123.0253906","3.67068752","M","52","28","34.65981841","Minahassa Peninsula, Sulawesi","BMKG"
"64","bmg2021vbsu","2021-10-27T18:52:33.530246Z","-2.650835037","138.9440155","3.202198641","M","10","13","105.0031967","Irian Jaya, Indonesia","BMKG"
"65","bmg2021vbrm","2021-10-27T18:13:48.625776Z","4.293718815","126.8297501","4.321691708","M","10","32","161.5845337","Talaud Islands, Indonesia","BMKG"
"66","bmg2021vbor","2021-10-27T16:47:53.15804Z","-0.03653443232","99.1756134","3.090292834","M","38","24","85.00135803","Southern Sumatra, Indonesia","BMKG"
"67","bmg2021vbnp","2021-10-27T16:15:33.578003Z","-5.471334934","131.2671661","3.530585178","M","12","23","75.93231201","Banda Sea","BMKG"
"68","bmg2021vbnc","2021-10-27T16:00:19.600204Z","1.025292039","98.68177795","2.833926873","M","33","25","66.73146057","Northern Sumatra, Indonesia","BMKG"
"69","bmg2021vbkj","2021-10-27T14:37:57.975303Z","-0.2723253965","99.40449524","3.6110385","M","76","39","84.14077759","Southern Sumatra, Indonesia","BMKG"
"70","bmg2021vbkh","2021-10-27T14:35:07.26292Z","3.674724579","113.529892","6.126036141","M","10","10","193.8258438","Borneo","BMKG"
"71","bmg2021vbjw","2021-10-27T14:21:58.03933Z","-9.501678467","117.4960403","3.31086338","M","16","34","192.102066","Sumbawa Region, Indonesia","BMKG"
"72","bmg2021vbjk","2021-10-27T14:08:18.716516Z","-8.094892502","107.8641968","3.229050547","M","25","29","207.6593246","Java, Indonesia","BMKG"
"73","bmg2021vbjc","2021-10-27T13:59:22.973807Z","-2.450987816","120.9258881","2.706549031","M","10","17","53.92170715","Sulawesi, Indonesia","BMKG"
"74","bmg2021vbik","2021-10-27T13:37:39.690244Z","-3.210336924","135.5786591","3.558701419","M","10","19","69.40602112","Irian Jaya Region, Indonesia","BMKG"
"75","bmg2021vbhv","2021-10-27T13:20:36.914143Z","-6.93763876","105.4618454","3.269975118","M","25","32","205.1967545","Sunda Strait, Indonesia","BMKG"
"76","bmg2021vbfd","2021-10-27T11:59:00.736814Z","-0.3017928004","123.2493515","3.886672421","M","80","34","51.87766266","Minahassa Peninsula, Sulawesi","BMKG"
"77","bmg2021vben","2021-10-27T11:40:18.876689Z","0.005466226488","123.0370407","3.421826062","M","158","16","59.07737732","Minahassa Peninsula, Sulawesi","BMKG"
"78","bmg2021vbdq","2021-10-27T11:14:04.571159Z","-3.149289131","135.6166382","3.739088871","M","10","20","70.91044617","Irian Jaya Region, Indonesia","BMKG"
"79","bmg2021vbad","2021-10-27T09:27:50.140221Z","-7.542076588","106.9195862","2.94863968","M","96","19","198.9016113","Java, Indonesia","BMKG"
"80","bmg2021vazw","2021-10-27T09:19:30.897667Z","-7.33768034","110.3429184","2.67859818","M","10","9","115.7524776","Java, Indonesia","BMKG"
"81","bmg2021vaws","2021-10-27T07:44:02.630394Z","-8.368708611","118.8468552","3.114613761","M","159","23","128.4196663","Sumbawa Region, Indonesia","BMKG"
"82","bmg2021vawr","2021-10-27T07:42:57.509733Z","-2.744864941","118.0780487","4.919337639","M","362","10","119.252121","Sulawesi, Indonesia","BMKG"
"83","bmg2021vavk","2021-10-27T07:04:31.497267Z","2.693557739","110.413414","6.727515785","M","10","10","222.5504303","South China Sea","BMKG"
"84","bmg2021vavl","2021-10-27T07:03:43.883272Z","-8.604122162","118.3744736","3.327462636","M","117","26","122.4878311","Sumbawa Region, Indonesia","BMKG"
"85","bmg2021vath","2021-10-27T06:00:07.299877Z","1.256810546","126.1553421","3.446754633","M","10","18","99.58209229","Northern Molucca Sea","BMKG"
"86","bmg2021vasz","2021-10-27T05:50:43.860489Z","-9.797546387","125.0107498","4.589125823","M","53","106","64.39860535","Timor Region","BMKG"
"87","bmg2021vard","2021-10-27T04:54:26.379454Z","-7.477981091","128.619278","4.242562306","M","217","19","106.2294116","Banda Sea","BMKG"
